arrangement_id,event_id,arrangement_xid,event_xid,arrangement_name,event_name,category,start_at,end_at,location_name,description
112591,300068,,,"Three Sisters",,"CCPA Performance-Theatre","2025-10-03 19:30:00","2025-10-03 21:30:00","Miller Studio Theatre | Auditorium Building, room 980",
116895,310548,,,"CCPA Woodwind Day",Welcome,Event-CCPA,"2025-10-04 09:00:00","2025-10-04 10:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
116895,319605,,,"CCPA Woodwind Day",,Event-CCPA,"2025-10-04 09:00:00","2025-10-04 17:00:00",,
116895,317902,,,"CCPA Woodwind Day","Breakout Session",Event-CCPA,"2025-10-04 10:00:00","2025-10-04 11:00:00","Sullivan Room | Auditorium Building, room 220",
116895,324931,,,"CCPA Woodwind Day","Breakout Session",Event-CCPA,"2025-10-04 10:00:00","2025-10-04 11:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
116895,324933,,,"CCPA Woodwind Day","Breakout Session",Event-CCPA,"2025-10-04 10:00:00","2025-10-04 11:00:00","AUD 730",
116895,324934,,,"CCPA Woodwind Day","Breakout Session",Event-CCPA,"2025-10-04 10:00:00","2025-10-04 11:00:00","AUD 925",
116895,324935,,,"CCPA Woodwind Day","Breakout Session",Event-CCPA,"2025-10-04 10:00:00","2025-10-04 11:00:00","Mikowsky Hall | 430 S. Michigan Ave, room 907, Chicago, IL 60605",
116895,324936,,,"CCPA Woodwind Day",Masterclass,Event-CCPA,"2025-10-04 11:00:00","2025-10-04 12:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
116895,324937,,,"CCPA Woodwind Day",Lunch,Event-CCPA,"2025-10-04 12:30:00","2025-10-04 13:30:00","Ida B. Wells Lounge",
116895,324938,,,"CCPA Woodwind Day","Panel Q&A",Event-CCPA,"2025-10-04 13:30:00","2025-10-04 14:30:00","Sullivan Room | Auditorium Building, room 220",
116895,324939,,,"CCPA Woodwind Day",Masterclass,Event-CCPA,"2025-10-04 14:30:00","2025-10-04 16:00:00","Sullivan Room | Auditorium Building, room 220",
116895,324940,,,"CCPA Woodwind Day","Faculty Recital",Event-CCPA,"2025-10-04 16:00:00","2025-10-04 17:00:00","Sullivan Room | Auditorium Building, room 220",
112591,300072,,,"Three Sisters",,"CCPA Performance-Theatre","2025-10-04 19:30:00","2025-10-04 21:30:00","Miller Studio Theatre | Auditorium Building, room 980",
112591,300075,,,"Three Sisters",,"CCPA Performance-Theatre","2025-10-05 14:00:00","2025-10-05 16:00:00","Miller Studio Theatre | Auditorium Building, room 980",
121414,325231,,,"A1 Auditions",,Event-CCPA,"2025-10-10 09:00:00","2025-10-10 17:00:00","AUD 710","Contact: Rebecca Schorsch"
112591,300084,,,"Three Sisters",,"CCPA Performance-Theatre","2025-10-10 19:30:00","2025-10-10 21:30:00","Miller Studio Theatre | Auditorium Building, room 980",
117579,315127,,,"Chamber Orchestra",,"CCPA Performance-Music","2025-10-10 19:30:00","2025-10-10 21:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
117263,314589,,,"Mini Preview Day",,Event-CCPA,"2025-10-11 12:30:00","2025-10-11 15:00:00","Marks Hall | Auditorium Building, room 964","Contact: Amanda Horvath-Adair"
112591,300087,,,"Three Sisters",,"CCPA Performance-Theatre","2025-10-11 14:00:00","2025-10-11 16:00:00","Miller Studio Theatre | Auditorium Building, room 980",
112591,300081,,,"Three Sisters",,"CCPA Performance-Theatre","2025-10-11 19:30:00","2025-10-11 21:30:00","Miller Studio Theatre | Auditorium Building, room 980",
115016,304671,,,"Jesus Christ Superstar",,"CCPA Performance-Theatre","2025-10-17 19:30:00","2025-10-17 21:30:00","O'Malley Theatre | Auditorium Building, room 773",
115016,304675,,,"Jesus Christ Superstar",,"CCPA Performance-Theatre","2025-10-18 19:30:00","2025-10-18 21:30:00","O'Malley Theatre | Auditorium Building, room 773",
115016,304678,,,"Jesus Christ Superstar",,"CCPA Performance-Theatre","2025-10-19 14:00:00","2025-10-19 16:00:00","O'Malley Theatre | Auditorium Building, room 773",
115016,304683,,,"Jesus Christ Superstar",,"CCPA Performance-Theatre","2025-10-24 19:30:00","2025-10-24 21:30:00","O'Malley Theatre | Auditorium Building, room 773",
111726,299042,,,"CCPA OperaFest",,"CCPA Performance-Music","2025-10-25 14:30:00","2025-10-25 17:00:00","Ida B. Wells Lounge",
109670,325618,,,"CCPA Opera (ENS 427-01)","Wells Lounge","CCPA Performance-Music","2025-10-25 14:30:00","2025-10-25 17:30:00",,
115016,304686,,,"Jesus Christ Superstar",,"CCPA Performance-Theatre","2025-10-25 19:30:00","2025-10-25 21:30:00","O'Malley Theatre | Auditorium Building, room 773",
111744,315131,,,"Contemporary Ensemble",,"CCPA Performance-Music","2025-10-25 19:30:00","2025-10-25 21:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
115016,304689,,,"Jesus Christ Superstar",,"CCPA Performance-Theatre","2025-10-26 14:00:00","2025-10-26 16:00:00","O'Malley Theatre | Auditorium Building, room 773",
111726,307714,,,"CCPA OperaFest",,"CCPA Performance-Music","2025-10-26 14:30:00","2025-10-26 17:00:00","Ida B. Wells Lounge",
109670,325619,,,"CCPA Opera (ENS 427-01)","Wells Lounge","CCPA Performance-Music","2025-10-26 14:30:00","2025-10-26 17:30:00",,
111724,299038,,,"CCPA Jazz Combo Concert",,"CCPA Performance-Interdisciplinary","2025-10-28 19:00:00","2025-10-28 21:00:00","Jazz Showcase | 806 S. Plymouth Ct, Chicago, IL 60605",
124366,335314,,,"CCPA STUCO Murder Mystery","Fainman Lounge Reservation",Event-CCPA,"2025-10-29 17:30:00","2025-10-29 22:30:00",,
111722,299034,,,"Student Composition Recital",,"CCPA Performance-Interdisciplinary","2025-10-29 19:30:00","2025-10-29 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
121142,313054,,,"Graduate Recital: Ling-Hsuan Lee, horn",,"Student Recital","2025-11-03 19:30:00","2025-11-03 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
117672,314916,,,"Faculty Recital: Almita Vamos, violin",,"Faculty/Guest Artist Recital","2025-11-05 19:30:00","2025-11-05 21:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
111732,299065,,,"CCPA PianoFest",,"CCPA Performance-Music","2025-11-07 19:00:00","2025-11-07 21:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
115013,304645,,,Urinetown,,"CCPA Performance-Theatre","2025-11-07 19:30:00","2025-11-07 21:30:00","Miller Studio Theatre | Auditorium Building, room 980",
111732,299069,,,"CCPA PianoFest",,"CCPA Performance-Music","2025-11-08 16:00:00","2025-11-08 17:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
