@name,arrT,destNm,destSt,flags,heading,isApp,isDly,lat,lon,nextStaId,nextStaNm,nextStpId,prdt,rn,trDr
red,2026-01-19T01:34:17,Howard,30173,,356,1,0,41.99366,-87.6592,40760,Granville,30147,2026-01-19T01:33:17,826,1
red,2026-01-19T01:34:16,Howard,30173,,358,1,0,41.88198,-87.62772,41660,Lake,30289,2026-01-19T01:33:16,841,1
red,2026-01-19T01:36:13,Howard,30173,,32,0,0,41.81036,-87.63101,40190,Sox-35th,30036,2026-01-19T01:33:13,842,1
red,2026-01-19T01:34:06,95th/Dan Ryan,30089,,178,1,0,41.89417,-87.62809,40330,Grand,30065,2026-01-19T01:33:06,921,5
red,2026-01-19T01:35:11,95th/Dan Ryan,30089,,177,0,0,41.76836,-87.62581,40240,79th,30047,2026-01-19T01:33:11,922,5
red,2026-01-19T01:36:16,95th/Dan Ryan,30089,,179,0,0,41.94743,-87.65363,41320,Belmont,30256,2026-01-19T01:33:16,937,5
red,2026-01-19T01:35:21,95th/Dan Ryan,30089,,178,0,0,42.00836,-87.66591,41300,Loyola,30252,2026-01-19T01:33:21,938,5
red,2026-01-19T01:35:17,Howard,30173,,357,0,0,41.93161,-87.65307,41320,Belmont,30255,2026-01-19T01:33:17,941,1
blue,2026-01-19T01:34:20,O'Hare,30171,,358,1,0,41.87818,-87.6293,40790,Monroe,30153,2026-01-19T01:33:20,136,1
blue,2026-01-19T01:34:20,O'Hare,30171,,269,1,0,41.98235,-87.80534,40750,Harlem (O'Hare Branch),30145,2026-01-19T01:33:20,153,1
blue,2026-01-19T01:34:21,O'Hare,30171,,288,1,0,41.96353,-87.74808,41280,Jefferson Park,30247,2026-01-19T01:33:21,155,1
blue,2026-01-19T01:34:19,Forest Park,30077,,275,1,0,41.87339,-87.80592,40980,Harlem (Forest Park Branch),30190,2026-01-19T01:33:19,217,5
blue,2026-01-19T01:33:49,Forest Park,30077,,89,1,0,41.88574,-87.63089,40370,Washington,30073,2026-01-19T01:32:49,218,5
blue,2026-01-19T01:35:08,Forest Park,30077,,111,0,0,41.98209,-87.78357,41280,Jefferson Park,30248,2026-01-19T01:33:08,219,5
blue,2026-01-19T01:35:06,O'Hare,30171,,95,0,0,41.87349,-87.80696,40180,Oak Park,30034,2026-01-19T01:33:06,231,1
blue,2026-01-19T01:34:17,Forest Park,30077,,262,1,0,41.87442,-87.70605,40250,Kedzie-Homan,30049,2026-01-19T01:33:17,235,5
g,2026-01-19T01:34:13,Harlem/Lake,30004,,269,1,0,41.88729,-87.77446,40610,Ridgeland,30120,2026-01-19T01:33:13,018,1
g,2026-01-19T01:34:12,Harlem/Lake,30004,,269,1,0,41.88568,-87.64598,41510,Morgan,30296,2026-01-19T01:33:12,019,1
g,2026-01-19T01:34:18,Harlem/Lake,30004,,357,1,0,41.87682,-87.62603,40680,Adams/Wabash,30131,2026-01-19T01:33:18,020,1
g,2026-01-19T01:33:34,Ashland/63rd,30057,,179,1,0,41.80209,-87.6185,40510,Garfield,30100,2026-01-19T01:32:34,617,5
g,2026-01-19T01:34:07,Ashland/63rd,30057,,178,1,0,41.87259,-87.62677,41400,Roosevelt,30081,2026-01-19T01:33:07,618,5
p,2026-01-19T01:33:53,Howard,30176,,167,1,0,42.03751,-87.68069,40270,Main,30053,2026-01-19T01:32:53,510,5
p,2026-01-19T01:33:58,Linden,30203,,333,1,0,42.06762,-87.68762,41050,Linden,30203,2026-01-19T01:32:58,511,1
pink,2026-01-19T01:34:13,54th/Cermak,30114,,269,1,0,41.88571,-87.63636,41160,Clinton,30222,2026-01-19T01:33:13,316,1
org,2026-01-19T01:34:18,Midway,30182,,238,1,0,41.83043,-87.67918,40120,35th/Archer,30023,2026-01-19T01:33:18,717,5
org,2026-01-19T01:34:05,Midway,30182,,358,1,0,41.88411,-87.63388,40380,Clark/Lake,30074,2026-01-19T01:33:05,718,5
brn,2026-01-19T01:34:20,Kimball,30249,,269,1,0,41.96621,-87.6941,40870,Francisco,30167,2026-01-19T01:33:20,420,1
brn,2026-01-19T01:34:14,Kimball,30249,,358,1,0,41.91803,-87.65264,40660,Armitage,30127,2026-01-19T01:33:14,422,1
brn,2026-01-19T01:34:54,Kimball,30249,,87,0,0,41.87691,-87.6282,40680,Adams/Wabash,30131,2026-01-19T01:32:54,423,1
