Total,arrangement_name,category
286,Student Recital - Open,Student Recital
12,CCPA Woodwind Day,Event-CCPA
6,Jesus Christ Superstar,CCPA Performance-Theatre
6,Urinetown,CCPA Performance-Theatre
6,The Misanthrope,CCPA Performance-Theatre
6,Seussical,CCPA Performance-Theatre
6,Natasha, Pierre & The Great Comet of 1812,CCPA Performance-Theatre
6,Orlando,CCPA Performance-Theatre
6,Hit the Wall,CCPA Performance-Theatre
5,Three Sisters,CCPA Performance-Theatre
4,Student Composition Recital,CCPA Performance-Interdisciplinary
4,CCPA PianoFest,CCPA Performance-Music
4,New Works,CCPA Performance-Theatre
3,CCPA JazzFest,CCPA Performance-Interdisciplinary
3,Songs @ Six,CCPA Performance-Music
3,Aeolian Classics Competition,Event-CCPA
3,PianoFest,CCPA Performance-Music
2,CCPA Opera (ENS 427-01),CCPA Performance-Music
2,CCPA OperaFest,CCPA Performance-Music
2,Chamber Orchestra,CCPA Performance-Music
2,CCPA Jazz Combo Concert,CCPA Performance-Interdisciplinary
2,Contemporary Ensemble,CCPA Performance-Music
2,Undergraduate Opera (ENS 301(Y)-01),CCPA Performance-Music
2,Symphony Orchestra,CCPA Performance-Music
2,String Chamber,CCPA Performance-Music
2,CLASSICAL GUITAR ENSEMBLE (ENS 209(Y)-01/409(Y)-01),CCPA Performance-Music
2,Opera Performance Diploma Showcase,CCPA Performance-Music
2,Vocal Ensemble,CCPA Performance-Music
2,Orleans International Piano Competition,Event-CCPA
2,CCPA Opera,CCPA Performance-Music
1,A1 Auditions,Event-CCPA
1,Mini Preview Day,Event-CCPA
1,Faculty Recital: Almita Vamos, violin,Faculty/Guest Artist Recital
1,CCPA STUCO Murder Mystery,Event-CCPA
1,Graduate Recital: Ling-Hsuan Lee, horn,Student Recital
1,Faculty Recital: Russell Rolen, cello,Faculty/Guest Artist Recital
1,Tiny PAL Concert,Event-CCPA
1,Vocal Ensemble (MTHR/ENS 201(Y)-01),CCPA Performance-Music
1,Sarah Siddons Society Q&A with Beth Leavel,Event-CCPA
1,LATIN JAZZ ENSEMBLE (ENS 240(Y)-10),CCPA Performance-Interdisciplinary
1,CCPA New Deal Jazz Ensemble and Puentes Latin Jazz Ensemble,CCPA Performance-Interdisciplinary
1,Senior Recital: Sijia Liu, guitar,Student Recital
1,Woodwind Chamber,CCPA Performance-Music
1,Piano/String/Composition Collaboration Concert,CCPA Performance-Interdisciplinary
1,Graduate Recital: Khadbaatar Jargalsaikhan, violin,Student Recital
1,Senior Recital: Ankang Tian, guitar,Student Recital
1,Graduate Recital: Kheeshea Britton, percussion,Student Recital
1,Early Music Ensemble,CCPA Performance-Music
1,Cantio Sacra: Faculty Recital,Faculty/Guest Artist Recital
1,Percussion Ensemble,CCPA Performance-Music
1,Junior Recital: Chiemerie Obianom, baritone,Student Recital
1,Schubertiade 2026,CCPA Performance-Music
1,Classical by Design: Faculty Recital,Faculty/Guest Artist Recital
1,Wind Ensemble,CCPA Performance-Music
1,String Ensemble,CCPA Performance-Music
1,Faculty Composition Recital,CCPA Performance-Interdisciplinary
1,Brass Ensemble,CCPA Performance-Music
1,New Deal Jazz Ensemble and Large Jazz Ensemble,CCPA Performance-Interdisciplinary
1,Woodwind/Percussion Chamber,CCPA Performance-Music
1,Dance Composition Collaboration Concert ,CCPA Performance-Interdisciplinary
1,Theatre Forum,Event-CCPA
0,,
